"Length"	"ID"	"Type"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
21	"Mammoth 10"	"Protein-coding mRNAs"
20	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
20	"Mammoth 10"	"Protein-coding mRNAs"
20	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
20	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
21	"Mammoth 10"	"Protein-coding mRNAs"
20	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
20	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
21	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
23	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
22	"Mammoth 10"	"Protein-coding mRNAs"
20	"Mammoth 10"	"Protein-coding mRNAs"
21	"Mammoth 10"	"Protein-coding mRNAs"
22	"Mammoth 10"	"Protein-coding mRNAs"
21	"Mammoth 10"	"Protein-coding mRNAs"
20	"Mammoth 10"	"Protein-coding mRNAs"
20	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
20	"Mammoth 10"	"Protein-coding mRNAs"
21	"Mammoth 10"	"Protein-coding mRNAs"
20	"Mammoth 10"	"Protein-coding mRNAs"
20	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
19	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
18	"Mammoth 10"	"Protein-coding mRNAs"
